'Abbād, عباد
'Abbād Maqbal, عباد مقبل
'Abd al Wāḩid, عبد الواحد
'Abdānah, عبدانة
'Abāşirah, عباصرة
'Adhabah, عذبة
'Aflah, عفلة
'Afrā', أفراء
'Afārah, Afara, عفارة
'Afāwah, عفاوة
'Afī, 'Afīy, عفى
'Afţah, عفطة
'Ajlān, 'Ujlān, عجلان
'Ajmat al Quflah, عجمة القفلة
'Ajr, عجر
'Ajājah, عجاجة
'Akadah, عكدة
'Akkāl, عكال
'Akramah, عكرمة
'Akramat Āl 'Abbūd, عكرمة ال عبود
'Akābah, عكابة
'Akāwal, عكاول
'Alab Yaḩya, علب يحي
'Alfā', علفاء
'Aljabal, علجبل
'Alkam, علكم
'Almān, المان
'Alwānah, علوانة
'Alá Şuḩayf, على صحيف
'Alāfah, علافة
'Alī Hādī, علي هادي
'Alī Ibn Aḩmad, علي إبن أحمد
'Alī Jābirah, علي جابرة
'Alī al 'Ayn, علي العين
'Alī Ţāriyah, علي طارية
'Amizat Ḩulays, عمزة حليس
'Amrān, Qaḑā' 'Amrān, عمران
'Amāqīyah, عماقية
'Amārah, عمارة
'Amīshah, عميشة
'Anbarah, عنبرة
'Anmī, عنمي
'Annah, عنة
'Ans, Anes, Bilād Ānis, Qaḑā' 'Ans, Qaḑā' Ānis, عنس
'Aqabah, عقبة
'Aqabat ath Thawr, عقبة الثور
'Aqam al Ghirāb, عقم الغراب
'Aqam ar Rajīm, عقم الرجيم
'Aqim al Wa'ir, عقم الوعـر
'Aqimat Ghāzī, عقمة غازي
'Aqm al Jazif, عقم الجزف
'Aqm al Mawqir, عقم الموقر
'Aqm aş Şawfī, عقم الصوفى
'Aqmat Sihayl, 'Aqm Sihayl, عقمة سهيل
'Aqāris, عقارس
'Ar'ar, Ara'ar, عرار
'Arbayn, عربين
'Arijān Ḩasan, عرجان حسن
'Ariq aḑ Ḑāli', عرق الضالع
'Arjāsh, عرجاش
'Arshān, 'Arashān, عرشان
'Arthūb al Malāḩ, عرثوب الملاح
'Arthūb al Qarārah, عرثوب القرارة
'Arwān, أروان
'Arābah as Suflá, عرابة السفلى
'Arābat al Ulyā, عرابة العليا
'Arājah, عراجة
'Arākibah, عراكبة
'Arām al Mighshá, عرام المغشى
'Arāsh, عراش
'Arāyah, عراية
'Arīmah, أريمة
'Arīsh Maqbal, عريش مقبل
'Asharī, عشري
'Ashat at Taq'ah, عشة التقعة
'Ashr, عشر
'Ashshat Muḩsin, عشة محسن
'Ashshat Sawdān, عشة سودان
'Ashshat al 'Almān, عشة العلمان
'Ashshat al Bīrin, عشة البيرن
'Ashshat as Sawdin, عشة السودن
'Ashān, عشان
'Ashār, Ishār, أشار
'Ashārah, عشارة
'Ashīrah, عشيرة
'Ashū, عاشو
'Askirah, عسكرة
'Asātinah, عساتنة
'Asīq, عسق, عسيق
'Athlah, أثلة, عتلة
'Athrān, عثران
'Awaj, أعوج
'Awaq Ghaythah, عوق غيثـة
'Awaq Jamīl, عوق جميل
'Awaq Matá, عوق متــى
'Awaq ad Dārah, عوق الدارة
'Awaq al 'Alāmah, عوق العلامة
'Awaq al 'Aqār, عوق العقار
'Awaq al Ḩarb, عوق الحرب
'Awaq ash Shalā', عوق الشلاء
'Awaq ash Shā'r, عوق الشاعر
'Awaq az Zahib, عوق الزهـب
'Awaş al Kaḩal, عوص الكحل
'Awdhān as Asfal, عوذان الأسفل
'Awkabah, عوكبة
'Ayn 'Anabah, عين عنبة
'Aynah, العينة, عينة
'Aynāb, عينان
'Aytam, عيتم
'Ayyāshū, عياشو
'Ayţān, عيطان
'Azz al Jarf, عز الجرف
'Azzān, 'Izān, عزان
'Azīyah, عزبة
'Aşbah, أسبة
'Aşirī, عصري
'Aşūrah, عصورة
'Aţfah Āl 'Abd, عطفة ال عبد
'Aţfat Āl Jamīl, عطفة ال جميل
'Aţrān, عطران
'Aţīyah, عطية
'Aţūsah, عطوسة
'Aḑūr al 'Awaş, عضور العوص
'Aḩūqah, عهوقة
'Idāfah, عدافة
'Irq, عرق
'Irq Dibbah, عرق دبة
'Irq ash Sharī, عرق الشري
