##########################
# Argentina
##########################

republica argentina, argentina

##########################
# Armenia
##########################

arssr, armenia
republic of armenia, armenia

##########################
# Australia
##########################

au, australia
austl, australia

##########################
# Austria
##########################

at, austria
osterreich, austria
osterrich, austria

##########################
# Azerbaijan
##########################

azssr, azerbaijan
republic of azerbaijan, azerbaijan

# Still recognized by the UN as part of azerbaijan
nagorno-karabakh, azerbaijan

##########################
# Bahrain
##########################

kingdom of bahrain, bahrain

##########################
# Belarus
##########################

belorussia, belarus
republic of belarus, belarus

##########################
# Belgium
##########################

be, belgium
belgien, belgium
belgique, belgium

##########################
# Benin
##########################

republic of benin, benin

##########################
# Bosnia and herzegovina
##########################

bosnia herceg, bosnia and herzegovina

##########################
# brazil
##########################

brasil, brazil
brasilien, brazil
bresil, brazil

##########################
# Brunei
##########################

brunei darussalam, brunei
darussalam, brunei

##########################
# Bulgaria
##########################

peoples republic of bulgaria, bulgaria

##########################
# Canada
##########################

ca, canada
can, canada

##########################
# Cape verde
##########################

cabo verde, cape verde

##########################
# Central African Republic
##########################

republique centrafricaine, central african republic

##########################
# Chile
##########################

easter island, chile
juan fernandez islands, chile

##########################
# China
##########################

ch, china
macao, china
macau, china

# There is disagreement whether Taiwan is independent
# or not. Following the UN by mapping it to China.
taiwan, china
taiwan china, china
taiwan provinc, china
taiwan province of china, china
taiwan republic of china, china
taiwan r o c, china
taiwan roc, china
people's r, china
peoples, china
peoples r china, china
peoples republic, china
prc, china
prchina, china
p.r. china, china
p. r. china, china
eoples r china, china
ceoples r china, china
peoples republic of china, china
peoples republ, china
republic of china, china
roc, china

##########################
# Congo
##########################

dem rep congo, congo
dem repub congo, congo
democratic republic of the congo, congo
republic of the congo, congo
republique democratique du congo, congo
republique du congo, congo
rep congo, congo
rep dem congo, congo
rep of congo, congo
zaire, congo

##########################
# Croatia
##########################

republic of croatia, croatia

# Jugoslavia can be mapped to multiple current countries, but we have to choose one
croatia yugoslavia, croatia
jugoslavia, croatia
jugoslavien, croatia
jugoslawien, croatia
yugoslavia, croatia

##########################
# Cyprus
##########################

cyprus north, cyprus
cyprus northern, cyprus

##########################
# Czech republic
##########################

csr, czech republic
czechia, czech republic
tschechische republik, czech republic

# Can be added to two countries, but we have to choose one
cssr, czech republic
czech and slovak federal republic, czech republic
czechoslovakia, czech republic
tschechoslowakei, czech republic

##########################
# Denmark
##########################

faroe islands, denmark
greenland, denmark

##########################
# Dominican republic
##########################

dominicanrepu, dominican republic

##########################
# East Timor
##########################

timor leste, east timor

##########################
# Egypt
##########################

agypten, egypt
eg, egypt

# Both Egypt (until 1971) and Syria (until 1961)
egypt uar, egypt
uar, egypt
united arab republic, egypt

##########################
# Estonia
##########################

esssr, estonia
estland, estonia

##########################
# Finland
##########################

aland, finland
aland islands, finland

##########################
# France
##########################

clipperton island, france
fr, france
frankreich, france
fr guiana, france
fr polynesia, france
french guiana, france
french polynesia, france
guadeloupe, france
martinique, france
mayotte, france
new caledonia, france
polynésie française, france
réunion, france
saint barthélemy, france
saint martin, france
saint pierre and miquelon, france
wallis and futuna, france
